Procedimentos realizados,Frequência
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1.0
0202010180 DOSAGEM DE AMILASE,1.0
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,1.0
0202010317 DOSAGEM DE CREATININA,2.0
0202010422 DOSAGEM DE FOSFATASE ALCALINA,1.0
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),1.0
0202010554 DOSAGEM DE LIPASE,1.0
0202010600 DOSAGEM DE POTASSIO,2.0
0202010635 DOSAGEM DE SODIO,2.0
0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO),1.0
0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP),1.0
0202010694 DOSAGEM DE UREIA,2.0
0202020380 HEMOGRAMA COMPLETO,2.0
0202030083 DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA,1.0
0202031209 DOSAGEM DE TROPONINA,1.0
"0202050017 ANALISE DE CARACTERES FISICOS, ELEMENTOS E SEDIMENTO DA URINA",1.0
0204030153 RADIOGRAFIA DE TORAX (PA E PERFIL),6.0
0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX,2.0
0211020036 ELETROCARDIOGRAMA,2.0
0301010072 CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,19.0
0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA,4.0
0301060096 ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO,5.0
0301060118 ACOLHIMENTO COM CLASSIFICACAO DE RISCO,10.0
0301100012 ADMINISTRACAO DE MEDICAMENTOS NA ATENCAO ESPECIALIZADA.,2.0
0412050170 TORACOCENTESE/DRENAGEM DE PLEURA,3.0
Total,74.0
,
