Procedimentos realizados,Frequência
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,1.0
0202010228 DOSAGEM DE CALCIO IONIZAVEL,1.0
0202010260 DOSAGEM DE CLORETO,2.0
0202010317 DOSAGEM DE CREATININA,1.0
0202010473 DOSAGEM DE GLICOSE,1.0
0202010538 DOSAGEM DE LACTATO,1.0
0202010600 DOSAGEM DE POTASSIO,2.0
0202010635 DOSAGEM DE SODIO,2.0
0202010694 DOSAGEM DE UREIA,1.0
0202010732 GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE ),1.0
0202020029 CONTAGEM DE PLAQUETAS,1.0
0202020150 DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS),1.0
0202020304 DOSAGEM DE HEMOGLOBINA,1.0
0202020371 HEMATOCRITO,1.0
0202020380 HEMOGRAMA COMPLETO,1.0
0202030083 DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA,1.0
0202050068 DETERMINACAO DE OSMOLALIDADE,1.0
0202070271 DOSAGEM DE META-HEMOGLOBINA,1.0
0206010044 TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES,1.0
0301010048 CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),3.0
0301010072 CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,5.0
0301010307 TELECONSULTA MEDICA NA ATENCAO ESPECIALIZADA,1.0
0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA,1.0
0301060061 ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA,1.0
0301060096 ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO,3.0
0301060118 ACOLHIMENTO COM CLASSIFICACAO DE RISCO,3.0
0301100012 ADMINISTRACAO DE MEDICAMENTOS NA ATENCAO ESPECIALIZADA.,1.0
0412050170 TORACOCENTESE/DRENAGEM DE PLEURA,5.0
Total,45.0
,
