Procedimentos realizados,Frequência
0202010180 DOSAGEM DE AMILASE,1.0
0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,1.0
0202010422 DOSAGEM DE FOSFATASE ALCALINA,1.0
0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),1.0
0202010554 DOSAGEM DE LIPASE,1.0
0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO),1.0
0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP),1.0
0202020380 HEMOGRAMA COMPLETO,1.0
"0202050017 ANALISE DE CARACTERES FISICOS, ELEMENTOS E SEDIMENTO DA URINA",1.0
0202090361 TESTE MOLECULAR PARA A DETECCAO DO COMPLEXO MYCOBACTERIUM TUBERCULOSIS,525.0
0203020030 EXAME ANATOMO-PATOLOGICO PARA CONGELAMENTO / PARAFINA POR PECA CIRURGICA OU POR BIOPSIA (EXCETO COL,5.0
0301010048 CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),1.0
0301010072 CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,54.0
0301050023 ASSISTENCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL.,1.0
0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA,1.0
0301060096 ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO,1.0
Total,597.0
,
