Procedimentos realizados,Frequência
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1.0
0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE,2.0
0202010317 DOSAGEM DE CREATININA,2.0
0202010600 DOSAGEM DE POTASSIO,2.0
0202010635 DOSAGEM DE SODIO,2.0
0202010694 DOSAGEM DE UREIA,2.0
0202020380 HEMOGRAMA COMPLETO,3.0
0202030083 DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA,3.0
0202030679 PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C (ANTI-HCV),2.0
0202080048 BACILOSCOPIA DIRETA P/ BAAR TUBERCULOSE (DIAGNOSTICA),67.0
0202080064 BACILOSCOPIA DIRETA P/ BAAR TUBERCULOS (CONTROLE),1.0
0202090361 TESTE MOLECULAR PARA A DETECCAO DO COMPLEXO MYCOBACTERIUM TUBERCULOSIS,548.0
0203010027 EXAME CITOPATOLOGICO HORMONAL SERIADO (MINIMO 3 COLETAS),22.0
0203010035 EXAME DE CITOLOGIA (EXCETO CERVICO-VAGINAL E DE MAMA),2.0
0203020030 EXAME ANATOMO-PATOLOGICO PARA CONGELAMENTO / PARAFINA POR PECA CIRURGICA OU POR BIOPSIA (EXCETO COL,5.0
0203020049 IMUNOHISTOQUIMICA DE NEOPLASIAS MALIGNAS (POR MARCADOR),4.0
0204030153 RADIOGRAFIA DE TORAX (PA E PERFIL),2.0
0205010032 ECOCARDIOGRAFIA TRANSTORACICA,1.0
0205020097 ULTRASSONOGRAFIA MAMARIA BILATERAL,1.0
0206010028 TOMOGRAFIA COMPUTADORIZADA DE COLUNA LOMBO-SACRA C/ OU S/ CONTRASTE,1.0
0206010036 TOMOGRAFIA COMPUTADORIZADA DE COLUNA TORACICA C/ OU S/ CONTRASTE,1.0
0206010044 TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES,1.0
0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX,33.0
0206030010 TOMOGRAFIA COMPUTADORIZADA DE ABDOMEN SUPERIOR,2.0
0206030029 TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO INFERIOR,1.0
0206030037 TOMOGRAFIA COMPUTADORIZADA DE PELVE / BACIA / ABDOMEN INFERIOR,2.0
0212010026 EXAMES PRE-TRANSFUSIONAIS I,16.0
0212010034 EXAMES PRE-TRANSFUSIONAIS II,20.0
0214010163 TESTE RAPIDO PARA DETECCAO DE SARS-COVID-2,2.0
0301010048 CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),3.0
0301010064 CONSULTA MEDICA EM ATENCAO PRIMARIA,4.0
0301010072 CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,16.0
0301010269 AVALIACAO DO CRESCIMENTO NA PUERICULTURA,1.0
0301010307 TELECONSULTA MEDICA NA ATENCAO ESPECIALIZADA,7.0
0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA,4.0
0301060061 ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA,2.0
0301060096 ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO,4.0
0301060118 ACOLHIMENTO COM CLASSIFICACAO DE RISCO,6.0
0301100012 ADMINISTRACAO DE MEDICAMENTOS NA ATENCAO ESPECIALIZADA.,2.0
0301100217 ADMINISTRACAO DE MEDICAMENTOS POR VIA ORAL,16.0
0301100284 CURATIVO SIMPLES,1.0
0306020068 TRANSFUSAO DE CONCENTRADO DE HEMACIAS,12.0
0412050170 TORACOCENTESE/DRENAGEM DE PLEURA,1.0
Total,830.0
,
