Estado,Sim,Não,Total
Acre,0,274,274
Alagoas,47,5821,5868
Amapa,6,249,255
Amazonas,68,3579,3647
Bahia,249,22867,23116
Ceara,129,14708,14837
Distrito Federal,232,3013,3245
Espirito Santo,128,13081,13209
Goias,58,6696,6754
Maranhao,40,5825,5865
Mato Grosso,42,10311,10353
Mato Grosso do Sul,56,4004,4060
Minas Gerais,786,29229,30015
Parana,293,18438,18731
Paraiba,42,7178,7220
Para,39,4224,4263
Pernambuco,396,14230,14626
Piaui,83,7000,7083
Rio Grande do Norte,37,718,755
Rio Grande do Sul,161,12204,12365
Rio de Janeiro,148,18218,18366
Rondonia,34,1630,1664
Roraima,39,668,707
Santa Catarina,128,13081,13209
Sergipe,34,5070,5104
Sao Paulo,3428,98334,101762
Tocantins,15,945,960
