Estado,Idade média em anos
Acre,"52,33"
Alagoas,"53,28"
Amapa,"53,98"
Amazonas,"52,19"
Bahia,"55,05"
Ceara,"54,69"
Distrito Federal,"54,18"
Espirito Santo,"55,85"
Goias,"55,12"
Maranhao,"52,80"
Mato Grosso,"55,78"
Mato Grosso do Sul,"55,76"
Minas Gerais,"57,85"
Parana,"59,86"
Paraiba,"55,63"
Para,"53,38"
Pernambuco,"53,61"
Piaui,"53,57"
Rio Grande do Norte,"58,32"
Rio Grande do Sul,"58,44"
Rio de Janeiro,"57,39"
Rondonia,"53,83"
Roraima,"53,57"
Santa Catarina,"55,85"
Sergipe,"53,78"
Sao Paulo,"59,39"
Tocantins,"55,83"
