Código do Procedimento Ambulatorial,Valor Aprovado do procedimento
201010437,"184,76"
201010542,"97,00"
202010023,"66,33"
202010040,"3,63"
202010120,"344,10"
202010180,"24,75"
202010201,"62,31"
202010210,"693,75"
202010228,"301,86"
202010260,"122,10"
202010279,"923,13"
202010287,"744,12"
202010295,"505,05"
202010317,"3457,65"
202010325,"58,88"
202010333,"8,24"
202010368,"18,40"
202010384,"2354,09"
202010392,"280,80"
202010406,"250,40"
202010422,"215,07"
202010430,"688,20"
202010465,"91,26"
202010473,"973,10"
202010490,"3,68"
202010503,"2098,62"
202010538,"180,32"
202010554,"18,00"
202010562,"76,38"
202010600,"3207,90"
202010619,"177,80"
202010627,"227,55"
202010635,"954,60"
202010643,"138,69"
202010651,"484,41"
202010660,"704,52"
202010678,"951,21"
202010694,"3457,65"
202010708,"1600,20"
202010724,"30,94"
202010732,"3912,50"
202010767,"4053,84"
202020029,"106,47"
202020037,"8,19"
202020070,"57,33"
202020096,"54,60"
202020134,"536,61"
202020142,"363,09"
202020150,"27,30"
202020304,"168,30"
202020371,"177,48"
202020380,"7993,95"
202020509,"54,60"
202030083,"795,50"
202030105,"673,22"
202030113,"27,10"
202030121,"171,60"
202030130,"34,32"
202030202,"271,68"
202030253,"60,00"
202030261,"20,00"
202030270,"26,01"
202030300,"1370,00"
202030598,"120,12"
202030636,"2485,70"
202030644,"37,10"
202030679,"17418,45"
202030741,"22,00"
202030776,"18,50"
202030784,"1873,55"
202030830,"34,32"
202030881,"18,50"
202030890,"1632,40"
202030903,"20,00"
202030946,"34,32"
202030970,"2578,45"
202030989,"37,10"
202031020,"220,00"
202031098,"8,20"
202031110,"14,15"
202031209,"216,00"
202040127,"1,65"
202040143,"3,30"
202050017,"5524,10"
202050025,"42,12"
202050041,"14,04"
202050068,"40,70"
202050092,"1161,16"
202050114,"42,84"
202060012,"25,08"
202060217,"15,70"
202060233,"7,89"
202060241,"8,97"
202060250,"1594,88"
202060276,"10739,37"
202060373,"227,76"
202060381,"1113,60"
202070085,"2200,00"
202070182,"58,61"
202070271,"45,21"
202080013,"547,80"
202080021,"266,60"
202080072,"207,20"
202080080,"1084,66"
202080129,"102,50"
202080137,"46,09"
202080145,"103,60"
202080153,"3780,21"
202080161,"185,79"
202090051,"11,34"
202090183,"37,80"
202090272,"22,68"
202120023,"34,25"
202120082,"28,77"
202120090,"5,46"
203010035,"104,80"
203020030,"1468,08"
203020049,"789,12"
204020042,"8,19"
204020085,"16,88"
204030137,"14,32"
204030153,"2014,00"
204030170,"96,32"
204040019,"6,42"
204040051,"7,77"
204050120,"61,20"
204050138,"86,04"
204050170,"156,33"
204060028,"771,40"
204060095,"7,77"
204060109,"13,00"
205010024,"330,00"
205010032,"10316,75"
205010040,"18724,50"
205020020,"29,62"
205020038,"24,20"
205020046,"3908,85"
205020054,"2809,60"
205020062,"48,40"
205020097,"169,40"
205020100,"484,00"
205020127,"242,00"
205020135,"2565,20"
205020160,"169,40"
205020186,"266,20"
206010010,"173,52"
206010028,"202,20"
206010036,"86,76"
206010044,"260,25"
206010052,"347,00"
206010079,"2338,56"
206020023,"173,50"
206020031,"8866,65"
206030010,"11506,29"
206030037,"9010,95"
207010048,"537,50"
207010064,"268,75"
207030014,"268,75"
207030022,"537,50"
208010025,"6127,80"
208010033,"6512,19"
208030018,"2271,78"
208030026,"386,40"
208040056,"133,03"
208040102,"495,72"
208050035,"0,00"
209010029,"450,64"
209010037,"529,76"
210010029,"411,03"
210010045,"1328,11"
210010053,"340,88"
210010070,"179,46"
210010096,"1008,66"
210010126,"1022,64"
210010134,"761,24"
210010142,"1007,55"
210010177,"3356,62"
210010185,"7200,36"
211020036,"581,95"
211020044,"30,00"
211060178,"24,68"
211060267,"24,24"
211080020,"11,12"
211090026,"8,82"
212010026,"5146,08"
212010034,"6560,40"
213010720,"0,00"
214010015,"0,00"
214010120,"0,00"
214010163,"0,00"
301010048,"77118,30"
301010064,"0,00"
301010072,"167610,00"
301010307,"60,00"
301010315,"31,50"
301060029,"1533,81"
301060061,"1408,00"
301060096,"132,00"
301060118,"0,00"
301070067,"7,71"
301070237,"0,00"
301100012,"4020,66"
301100195,"0,00"
301100217,"0,00"
301100225,"0,00"
301100284,"0,00"
303020024,"24,68"
305020056,"0,00"
306020068,"2815,32"
306020122,"51,12"
309050049,"0,00"
309050120,"0,00"
309050200,"0,00"
401010015,"124966,80"
401010058,"833,76"
406020094,"12,38"
417010052,"66,81"
417010060,"60,60"
418010013,"439062,70"
418010021,"52100,28"
418010048,"402400,00"
418010080,"73600,00"
418020019,"175200,00"
418020027,"73800,00"
418020035,"2800,00"
501050043,"208202,40"
501070060,"419439,60"
604020058,"2361,25"
604170025,"0,00"
604260016,"1295295,12"
604400012,"0,00"
604470010,"0,00"
604470029,"0,00"
604470037,"0,00"
604470045,"0,00"
604470053,"0,00"
604620012,"0,00"
604620039,"0,00"
604620047,"0,00"
604770014,"0,00"
604770022,"0,00"
604770030,"0,00"
701010029,"890,60"
701010037,"485,00"
702100013,"888470,28"
702100030,"24109,75"
702100072,"2437,56"
803010010,"65123,88"
803010028,"152502,00"
803010036,"0,00"
803010044,"4083,75"
803010052,"79422,00"
803010079,"4900,50"
803010087,"518908,50"
803010109,"86644,80"
803010117,"2360,00"
803010125,"271438,20"
