SEQ,CAMPO,TIPO E TAM,DESCRIÇÃO
1,PA_CODUNI,CHAR (7),"""Código do Estabelecimento no CNES (Cadastro Nacional de Estabelecimentos de Saúde)6"""
2,PA_GESTAO,CHAR (6),"""Código da Unidade da Federação7 (IBGE) + Código do Município (IBGE) do Gestorm, ou UF0000 se o estabelecimento estiver sob Gestão Estadual"""
3,PA_CONDIC,CHAR (2),"""Sigla do Tipo de Gestão no qual o Estado ou Município está habilitado"""
4,PA_UFMUN,CHAR (6),"""Unidade da Federação + Código do Município onde está localizado o estabelecimento"""
5,PA_REGCT,CHAR (4),"""Código da Regra Contratual"""
6,PA_INCOUT,CHAR (4),"""Incremento Outros"""
7,PA_INCURG,CHAR (4),"""Incremento Urgência"""
8,PA_TPUPS,CHAR (2),"""Tipo de Estabelecimento"""
9,PA_TIPPRE,CHAR (2),"""Tipo de Prestador"""
10,PA_MN_IND,CHAR (1),"""Estabelecimento Mantido / Individual"""
11,PA_CNPJCPF,CHAR (14),"""CNPJ do Estabelecimento executante"""
12,PA_CNPJMNT,CHAR (14),"""CNPJ da Mantenedora do estabelecimento ou zeros, caso não a tenha"""
13,PA_CNPJ_CC,CHAR (14),"""CNPJ do Órgão que recebeu pela produção por cessão de crédito ou zeros, caso não o tenha"""
14,PA_MVM,CHAR (6),"""Data de Processamento / Movimento (AAAAMM)"""
15,PA_CMP,CHAR (6),"""Data da Realização do Procedimento / Competência (AAAAMM)"""
16,PA_PROC_ID,CHAR (10),"""Código do Procedimento Ambulatorial"""
17,PA_TPFIN,CHAR (2),"""Tipo de Financiamento da produção"""
18,PA_SUBFIN,CHAR (4),"""Subtipo de Financiamento da produção"""
19,PA_NIVCPL,CHAR (1),"""Complexidade do Procedimento"""
20,PA_DOCORIG,CHAR (1),"""Instrumento de Registro (conforme explicado na página 2)"""
21,PA_AUTORIZ,"CHAR (13);""Número da APAC ou número de autorização do BPA-I, conforme o caso. No BPA-I, não é obrigatório, portanto, não é criticado. Lei de formação: UFAATsssssssd, onde: UF – Unid. da Federação, AA – ano, T – tipo","sssssss – sequencial, d – dígito"""
22,PA_CNSMED,CHAR (15),"""Número do CNS (Cartão Nacional de Saúde) do profissional de saúde executante"""
23,PA_CBOCOD,CHAR (6),"""Código da Ocupação do profissional na Classificação Brasileira de Ocupações8 (Ministério do Trabalho)"""
24,PA_MOTSAI,CHAR (2),"""Motivo de saída ou zeros, caso não tenha"""
25,PA_OBITO,CHAR (1),"""Indicador de Óbito (APAC)"""
26,PA_ENCERR,CHAR (1),"""Indicador de Encerramento (APAC)"""
27,PA_PERMAN,CHAR (1),"""Indicador de Permanência (APAC)"""
28,PA_ALTA,CHAR (1),"""Indicador de Alta (APAC)"""
29,PA_TRANSF,CHAR (1),"""Indicador de Transferência (APAC)"""
30,PA_CIDPRI,CHAR (4),"""CID9 Principal (APAC ou BPA-I)"""
31,PA_CIDSEC,CHAR (4),"""CID Secundário (APAC)"""
32,PA_CIDCAS,CHAR (4),"""CID Causas Associadas (APAC)"""
33,PA_CATEND,CHAR (2),"""Caráter de Atendimento (APAC ou BPA-I)"""
34,PA_IDADE,CHAR (3),"""Idade do paciente em anos"""
36,IDADEMIN,CHAR (3),"""Idade mínima do paciente para realização do procedimento"""
37,IDADEMAX,CHAR (3),"""Idade máxima do paciente para realização do procedimento"""
35,PA_FLIDADE,CHAR (1),"""Compatibilidade com a faixa de idade do procedimento (SIGTAP – Sistema de Gerenciamento da Tabela de Procedimentos do SUS): 0 = Idade não exigida, 1 = Idade compatível com o SIGTAP, 2 = Idade fora da faixa do SIGTAP, 3 = Idade inexistente, 4 = Idade EM BRANCO"""
38,PA_SEXO,CHAR (1),"""Sexo do paciente"""
39,PA_RACACOR,CHAR (2),"""Raça/Cor do paciente: 01 - Branca, 02 - Preta, 03 - Parda, 04 - Amarela, 05 - Indígena, 99 - Sem informação"""
40,PA_MUNPCN,CHAR (6),"""Código da Unidade da Federação + Código do Município de residência do paciente ou do estabelecimento, caso não se tenha a identificação do paciente, o que ocorre no (BPA)"""
41,PA_QTDPRO,"NUMERIC (11);""Quantidade Produzida (APRESENTADA)"""
42,PA_QTDAPR,NUMERIC (11),"""Quantidade Aprovada do procedimento"""
43,PA_VALPRO,"NUMERIC (20,2)","""Valor Produzido (APRESENTADO)"""
44,PA_VALAPR,"NUMERIC (20,2)","""Valor Aprovado do procedimento"""
45,PA_UFDIF,CHAR (1),"""Indica se a UF de residência do paciente é diferente da UF de localização do estabelecimento:0 = mesma UF, 1 = UF diferente"""
46,PA_MNDIF,CHAR (1),"""Indica se o município de residência do paciente é diferente do município de localização do estabelecimento: 0 = mesmo município, 1 = município diferente"""
47,PA_DIF_VAL,"NUMERIC (20,2)","""Diferença do Valor Unitário do procedimento praticado na Tabela Unificada com Valor Unitário praticado pelo Gestor da Produção, multiplicado pela Quantidade Aprovada"""
48,NU_VPA_TOT,"NUMERIC (20,2) ""Valor Unitário do Procedimento da Tabela VPA"""
49,NU_PA_TOT,"NUMERIC (20,2)","""Valor Unitário do Procedimento da Tabela SIGTAP"""
50,PA_INDICA,CHAR (1),"""Indicativo de situação da produção produzida: 0 = não aprovado, 5 = aprovado total, 6 = aprovado parcial"""
51,PA_CODOCO,CHAR (1),"""Código de Ocorrência"""
52,PA_FLQT,CHAR (1),"""Indicador de erro de Quantidade Produzida"""
53,PA_FLER,CHAR (1),"""Indicador de erro de corpo da APAC"""
54,PA_ETNIA,CHAR (4),"""Etnia do paciente"""
55,PA_VL_CF,"NUMERIC (20,2)","""Valor do Complemento Federal"""
56,PA_VL_CL,"NUMERIC (20,2)","""Valor do Complemento Local"""
57,PA_VL_INC,"NUMERIC (20,2)","""Valor do Incremento"""
58,PA_SRV_C,CHAR(6),"""Código do Serviço Especializado / Classificação CBO (de acordo com o CNES)"""
59,PA_INE,CHAR(10),"""Código de Identificação Nacional de Equipes10, para registrar a atuação das equipes na execução de ações de saúde"""
60,PA_NAT_JUR,CHAR(4),"""Código da Natureza Juridica11"""
