Estado,Vivos,Mortos,Total
Acre,274,0,274
Alagoas,5868,0,5868
Amapa,255,0,255
Amazonas,3647,0,3647
Bahia,23116,0,23116
Ceara,14837,0,14837
Distrito Federal,3245,0,3245
Espirito Santo,13195,14,13209
Goias,6754,0,6754
Maranhao,5865,0,5865
Mato Grosso,10347,6,10353
Mato Grosso do Sul,4060,0,4060
Minas Gerais,30015,0,30015
Parana,18712,19,18731
Paraiba,7206,14,7220
Para,4263,0,4263
Pernambuco,14626,0,14626
Piaui,7083,0,7083
Rio Grande do Norte,755,0,755
Rio Grande do Sul,12365,0,12365
Rio de Janeiro,18360,6,18366
Rondonia,1664,0,1664
Roraima,707,0,707
Santa Catarina,13195,14,13209
Sergipe,5095,9,5104
Sao Paulo,101758,4,101762
Tocantins,960,0,960
