PA_CIDPRI,Goiás,Mato Grosso do Sul,Mato Grosso,Distrito Federal,Total Frequency
0000,662371.0,427091.0,769298.0,280727.0,2139487.0
Z000,30781.0,8391.0,26618.0,1501.0,67291.0
Z008,1527.0,30491.0,1342.0,164.0,33524.0
N180,6754.0,4060.0,10353.0,3245.0,24412.0
0,16384.0,0.0,0.0,0.0,16384.0
H401,6479.0,4060.0,2103.0,2678.0,15320.0
M545,4041.0,3570.0,4658.0,2195.0,14464.0
F200,6436.0,2923.0,2492.0,2264.0,14115.0
M058,2406.0,1688.0,1566.0,5124.0,10784.0
Z349,1008.0,8023.0,68.0,214.0,9313.0
A09,3502.0,4330.0,997.0,138.0,8967.0
M255,3235.0,1478.0,3483.0,723.0,8919.0
Z940,3559.0,952.0,601.0,3803.0,8915.0
R522,3630.0,509.0,165.0,3770.0,8074.0
J450,1677.0,1393.0,796.0,3513.0,7379.0
B342,1242.0,781.0,4240.0,860.0,7123.0
R53,6245.0,349.0,474.0,36.0,7104.0
N390,2942.0,990.0,725.0,2138.0,6795.0
Z751,6753.0,1.0,0.0,0.0,6754.0
R521,2684.0,535.0,412.0,3111.0,6742.0
R104,3261.0,2148.0,576.0,715.0,6700.0
R68,6087.0,5.0,476.0,2.0,6570.0
H903,1125.0,4597.0,113.0,31.0,5866.0
T149,5252.0,191.0,248.0,89.0,5780.0
F83,4.0,5435.0,166.0,71.0,5676.0
B24,1594.0,1296.0,1561.0,1198.0,5649.0
R520,3649.0,303.0,917.0,602.0,5471.0
Z010,3983.0,569.0,756.0,154.0,5462.0
A90,2826.0,1841.0,599.0,172.0,5438.0
E109,1930.0,396.0,698.0,2326.0,5350.0
G808,447.0,4206.0,107.0,514.0,5274.0
G20,2334.0,978.0,684.0,1199.0,5195.0
C61,2269.0,930.0,889.0,972.0,5060.0
F840,1970.0,1366.0,615.0,988.0,4939.0
Z00,2009.0,71.0,2838.0,1.0,4919.0
R51,2063.0,1146.0,1305.0,109.0,4623.0
R11,2470.0,1011.0,1005.0,63.0,4549.0
M321,1831.0,302.0,543.0,1867.0,4543.0
M256,551.0,1687.0,1858.0,344.0,4440.0
C504,2450.0,1326.0,603.0,51.0,4430.0
I64,2072.0,1017.0,897.0,316.0,4302.0
M45,1308.0,720.0,797.0,1270.0,4095.0
J069,690.0,2129.0,364.0,854.0,4037.0
G400,1454.0,457.0,400.0,1570.0,3881.0
I10,2156.0,694.0,706.0,224.0,3780.0
