,State,January,February,March
0,Acre,0.0,0.0,0.0
1,Alagoas,5.0,2.0,4.0
2,Amapá,0.0,10.0,15.0
3,Amazonas,9.0,10.0,9.0
4,Bahia,23.0,121.0,48.0
5,Ceará,19.0,52.0,12.0
6,Distrito Federal,9.0,4.0,14.0
7,Espírito Santo,2.0,5.0,3.0
8,Goiás,5.0,21.0,21.0
9,Maranhão,16.0,6.0,25.0
10,Mato Grosso,16.0,11.0,6.0
11,Mato Grosso do Sul,22.0,9.0,4.0
12,Minas Gerais,74.0,159.0,100.0
13,Paraná,10.0,4.0,7.0
14,Paraíba,1.0,2.0,2.0
15,Pará,20.0,103.0,52.0
16,Pernambuco,45.0,53.0,41.0
17,Piauí,1.0,2.0,2.0
18,Rio Grande do Norte,2.0,0.0,0.0
19,Rio Grande do Sul,45.0,46.0,31.0
20,Rio de Janeiro,287.0,291.0,307.0
21,Rondônia,0.0,29.0,29.0
22,Roraima,81.0,0.0,0.0
23,Santa Catarina,597.0,674.0,1285.0
24,Sergipe,830.0,2.0,1.0
25,São Paulo,2.0,735.0,2592.0
26,Tocantins,0.0,1.0,1.0
