State,Total Frequency,Total Frequency per 100 thousand inhabitants
Acre,0,0.0
Alagoas,2,0.01
Amapá,10,0.06
Amazonas,10,0.07
Bahia,121,1.06
Ceará,52,0.48
Distrito Federal,4,0.04
Espírito Santo,5,0.06
Goiás,21,0.26
Maranhão,6,0.08
Mato Grosso,11,0.16
Mato Grosso do Sul,9,0.13
Minas Gerais,159,4.0
Paraná,4,0.1
Paraíba,2,0.05
Pará,103,2.82
Pernambuco,53,1.6
Piauí,2,0.06
Rio Grande do Norte,0,0.0
Rio Grande do Sul,46,1.63
Rio de Janeiro,291,10.55
Rondônia,29,1.31
Roraima,0,0.0
Santa Catarina,674,44.59
Sergipe,2,0.24
São Paulo,735,100.17
Tocantins,1,0.16
